Price Lag 0,Price Lag 1,Price Lag 2,Price Lag 3,Price Lag 4,Price Lag 5,Price Lag 6,zscore_sum_pos_sen,zscore_sum_neg_sen,tweet_vol,pos_likes_count,pos_retweets_count,neg_likes_count,neg_retweets_count
37421.38,42886.02,43552.14,46490.71,46775.29,49887.96,49700.6,1.086630326762624,1.1067586343368472,3414,851546,156906,465392,61359
42886.02,43552.14,46490.71,46775.29,49887.96,49700.6,49504.08,-0.005395336672180585,-0.18002674021710974,1976,585136,112971,269283,39374
43552.14,46490.71,46775.29,49887.96,49700.6,49504.08,56747.52,1.0249043531795008,1.1017803559504125,3337,1147992,189001,814476,106938
46490.71,46775.29,49887.96,49700.6,49504.08,56747.52,55870.01,-0.5282530257952653,-0.5288054215506288,1423,522563,119287,332178,41952
46775.29,49887.96,49700.6,49504.08,56747.52,55870.01,58294.18,-1.577886317474679,-1.4997068285195214,196,85233,16647,28983,4403
